id,customer_id,calculation_type,origin,destination,weight_in_tonnes,specific_method,created_at,updated_at,co2_in_g,file_name
425,CVO-2201,truck,"London, United Kingdom","Paris, France",0.01112,"",2021-09-07 16:09:23 UTC,2021-09-07 16:09:23 UTC,301,Convelio202109071809220200
426,CVO-4946,truck,"Le Cannet, France","London, United Kingdom",0.01112,"",2021-09-07 16:09:24 UTC,2021-09-07 16:09:24 UTC,904,Convelio202109071809220200
427,CVO-2565,air_freight,"London, United Kingdom","Frankfurt am Main, Germany",0.01112,freighter,2021-09-07 16:09:25 UTC,2021-09-07 16:09:25 UTC,4911,Convelio202109071809220200
428,CVO-2492,truck,"Gennevilliers, France","Monaco, Monaco",0.01112,"",2021-09-07 16:09:26 UTC,2021-09-07 16:09:26 UTC,612,Convelio202109071809220200
429,CVO-7591,air_freight,"New York, United States","Monaco, Monaco",0.01112,freighter,2021-09-07 16:09:27 UTC,2021-09-07 16:09:27 UTC,33968,Convelio202109071809220200
430,CVO-2300,truck,"Paris, France","Monaco, Monaco",0.01112,"",2021-09-07 16:09:28 UTC,2021-09-07 16:09:28 UTC,604,Convelio202109071809220200
431,CVO-4202,air_freight,"New York, United States","Moskva, Russia",0.01112,freighter,2021-09-07 16:09:29 UTC,2021-09-07 16:09:29 UTC,40005,Convelio202109071809220200
432,CVO-30334,truck,"Harlingen, United States","West Palm Beach, United States",0.01112,"",2021-09-07 16:09:30 UTC,2021-09-07 16:09:30 UTC,1539,Convelio202109071809220200
433,CVO-29684,truck,"Los Angeles, United States","New York, United States",0.01112,"",2021-09-07 16:09:31 UTC,2021-09-07 16:09:31 UTC,3449,Convelio202109071809220200
434,CVO-32658,truck,"Berkeley, United States","East Hampton, United States",0.01112,"",2021-09-07 16:09:32 UTC,2021-09-07 16:09:32 UTC,3731,Convelio202109071809220200
435,CVO-30335,truck,"New York, United States","San Diego, United States",0.01112,"",2021-09-07 16:09:33 UTC,2021-09-07 16:09:33 UTC,3424,Convelio202109071809220200
436,CVO-29033,truck,"Millersville, United States","Westlake Village, United States",0.01112,"",2021-09-07 16:09:34 UTC,2021-09-07 16:09:34 UTC,3318,Convelio202109071809220200
437,CVO-16671,truck,"San Francisco, United States","Okatie, United States",0.01112,"",2021-09-07 16:09:35 UTC,2021-09-07 16:09:35 UTC,3324,Convelio202109071809220200
438,CVO-18165,truck,"Santa Fe Springs, United States","Greenwich, United States",0.01112,"",2021-09-07 16:09:35 UTC,2021-09-07 16:09:35 UTC,3467,Convelio202109071809220200
439,CVO-18855,truck,"Los Angeles, United States","Nashville, United States",0.01112,"",2021-09-07 16:09:36 UTC,2021-09-07 16:09:36 UTC,2506,Convelio202109071809220200
440,CVO-18421,truck,"Greenwich, United States","Dobbs Ferry, United States",0.01112,"",2021-09-07 16:09:37 UTC,2021-09-07 16:09:37 UTC,18,Convelio202109071809220200
441,CVO-17301,truck,"Santa Fe Springs, United States","Wellington, United States",0.01112,"",2021-09-07 16:09:38 UTC,2021-09-07 16:09:38 UTC,3241,Convelio202109071809220200
442,CVO-18149,truck,"Napa, United States","Dallas, United States",0.01112,"",2021-09-07 16:09:39 UTC,2021-09-07 16:09:39 UTC,2084,Convelio202109071809220200
443,CVO-21568,truck,"Santa Fe Springs, United States","Boca Grande, United States",0.01112,"",2021-09-07 16:09:40 UTC,2021-09-07 16:09:40 UTC,3077,Convelio202109071809220200
444,CVO-18420,truck,"National City, United States","West Lake Hills, United States",0.01112,"",2021-09-07 16:09:41 UTC,2021-09-07 16:09:41 UTC,1618,Convelio202109071809220200
445,CVO-18418,truck,"Newark, United States","West Lake Hills, United States",0.01112,"",2021-09-07 16:09:41 UTC,2021-09-07 16:09:41 UTC,2122,Convelio202109071809220200
446,CVO-19964,truck,"Santa Fe Springs, United States","New York, United States",0.01112,"",2021-09-07 16:09:42 UTC,2021-09-07 16:09:42 UTC,3442,Convelio202109071809220200
447,CVO-18506,truck,"Wilson, United States","Raleigh, United States",0.01112,"",2021-09-07 16:09:43 UTC,2021-09-07 16:09:43 UTC,605,Convelio202109071809220200
448,CVO-24770,truck,"Harlingen, United States","Denver, United States",0.01112,"",2021-09-07 16:09:44 UTC,2021-09-07 16:09:44 UTC,1447,Convelio202109071809220200
449,CVO-26896,truck,"Burr Ridge, United States","Los Angeles, United States",0.01112,"",2021-09-07 16:09:47 UTC,2021-09-07 16:09:47 UTC,2435,Convelio202109071809220200
450,CVO-27392,truck,"Burr Ridge, United States","New York, United States",0.01112,"",2021-09-07 16:09:49 UTC,2021-09-07 16:09:49 UTC,1024,Convelio202109071809220200
451,CVO-30332,truck,"Burr Ridge, United States","New York, United States",0.01112,"",2021-09-07 16:09:51 UTC,2021-09-07 16:09:51 UTC,1024,Convelio202109071809220200
452,CVO-26293,truck,"New York, United States","Maspeth, United States",0.01112,"",2021-09-07 16:09:52 UTC,2021-09-07 16:09:52 UTC,8,Convelio202109071809220200
453,CVO-24180,truck,"Burr Ridge, United States","Napa, United States",0.01112,"",2021-09-07 16:09:53 UTC,2021-09-07 16:09:53 UTC,2570,Convelio202109071809220200
454,CVO-24373,truck,"Burr Ridge, United States","Washington, United States",0.01112,"",2021-09-07 16:09:54 UTC,2021-09-07 16:09:54 UTC,2326,Convelio202109071809220200
455,CVO-29494,truck,"Denver, United States","Los Angeles, United States",0.01112,"",2021-09-07 16:09:54 UTC,2021-09-07 16:09:54 UTC,1171,Convelio202109071809220200
456,CVO-26561,truck,"Chicago, United States","Long Island City, United States",0.01112,"",2021-09-07 16:09:55 UTC,2021-09-07 16:09:55 UTC,1006,Convelio202109071809220200
457,CVO-22207,truck,"New York, United States","Brooklyn, United States",0.01112,"",2021-09-07 16:09:56 UTC,2021-09-07 16:09:56 UTC,5,Convelio202109071809220200
458,CVO-25258,truck,"Mount Vernon, United States","San Francisco, United States",0.01112,"",2021-09-07 16:09:57 UTC,2021-09-07 16:09:57 UTC,3435,Convelio202109071809220200
459,CVO-29683,truck,"National City, United States","Los Angeles, United States",0.01112,"",2021-09-07 16:09:58 UTC,2021-09-07 16:09:58 UTC,163,Convelio202109071809220200
460,CVO-21441,truck,"National City, United States","National City, United States",0.01112,"",2021-09-07 16:09:58 UTC,2021-09-07 16:09:58 UTC,0,Convelio202109071809220200
461,CVO-32016,truck,"New York, United States","New York, United States",0.01112,"",2021-09-07 16:09:59 UTC,2021-09-07 16:09:59 UTC,0,Convelio202109071809220200
462,CVO-25884,truck,"Newark, United States","New Castle, United States",0.01112,"",2021-09-07 16:10:00 UTC,2021-09-07 16:10:00 UTC,147,Convelio202109071809220200
463,CVO-17071,truck,"New York, United States","Wellington, United States",0.01112,"",2021-09-07 16:10:01 UTC,2021-09-07 16:10:01 UTC,1460,Convelio202109071809220200
464,CVO-16683,truck,"Water Mill, United States","Libertyville, United States",0.01112,"",2021-09-07 16:10:02 UTC,2021-09-07 16:10:02 UTC,1144,Convelio202109071809220200
465,CVO-16004,truck,"Irvine, United States","East Hampton, United States",0.01112,"",2021-09-07 16:10:03 UTC,2021-09-07 16:10:03 UTC,3566,Convelio202109071809220200
466,CVO-16676,truck,"Long Grove, United States","Brunswick, United States",0.01112,"",2021-09-07 16:10:04 UTC,2021-09-07 16:10:04 UTC,1188,Convelio202109071809220200
467,CVO-16539,truck,"Gardena, United States","Chatham, United States",0.01112,"",2021-09-07 16:10:05 UTC,2021-09-07 16:10:05 UTC,3750,Convelio202109071809220200
468,CVO-14675,truck,"Gardena, United States","Jersey City, United States",0.01112,"",2021-09-07 16:10:05 UTC,2021-09-07 16:10:05 UTC,3458,Convelio202109071809220200
469,CVO-14578,truck,"Houston, United States","Austin, United States",0.01112,"",2021-09-07 16:10:06 UTC,2021-09-07 16:10:06 UTC,207,Convelio202109071809220200
470,CVO-14058,truck,"Washington, United States","Ridgewood, United States",0.01112,"",2021-09-07 16:10:07 UTC,2021-09-07 16:10:07 UTC,3263,Convelio202109071809220200
471,CVO-15413,truck,"Burlingame, United States","Houston, United States",0.01112,"",2021-09-07 16:10:08 UTC,2021-09-07 16:10:08 UTC,2307,Convelio202109071809220200
472,CVO-15020,truck,"Phoenix, United States","Palm Beach, United States",0.01112,"",2021-09-07 16:10:09 UTC,2021-09-07 16:10:09 UTC,2769,Convelio202109071809220200
473,CVO-21444,truck,"New York, United States","Lexington, United States",0.01112,"",2021-09-07 16:10:09 UTC,2021-09-07 16:10:09 UTC,832,Convelio202109071809220200
474,CVO-20285,truck,"Newark, United States","West Palm Beach, United States",0.01112,"",2021-09-07 16:10:10 UTC,2021-09-07 16:10:10 UTC,1446,Convelio202109071809220200
475,CVO-18858,truck,"Dallas, United States","Charlotte, United States",0.01112,"",2021-09-07 16:10:11 UTC,2021-09-07 16:10:11 UTC,1309,Convelio202109071809220200
476,CVO-18856,truck,"New York, United States","Nashville, United States",0.01112,"",2021-09-07 16:10:12 UTC,2021-09-07 16:10:12 UTC,1070,Convelio202109071809220200
477,CVO-18510,truck,"40.0606/-74.8503, United States","San Diego, United States",0.01112,"",2021-09-07 16:10:13 UTC,2021-09-07 16:10:13 UTC,10971,Convelio202109071809220200
478,CVO-18698,truck,"National City, United States","Milwaukee, United States",0.01112,"",2021-09-07 16:10:14 UTC,2021-09-07 16:10:14 UTC,2446,Convelio202109071809220200
479,CVO-18163,truck,"High Point, United States","New York, United States",0.01112,"",2021-09-07 16:10:15 UTC,2021-09-07 16:10:15 UTC,651,Convelio202109071809220200
480,CVO-19960,truck,"West New York, United States","University Place, United States",0.01112,"",2021-09-07 16:10:16 UTC,2021-09-07 16:10:16 UTC,3403,Convelio202109071809220200
481,CVO-19534,truck,"Los Angeles, United States","New Canaan, United States",0.01112,"",2021-09-07 16:10:16 UTC,2021-09-07 16:10:16 UTC,3484,Convelio202109071809220200
482,CVO-24970,truck,"New York, United States","New York, United States",0.01112,"",2021-09-07 16:10:17 UTC,2021-09-07 16:10:17 UTC,0,Convelio202109071809220200
483,CVO-22855,truck,"Newark, United States","Oakland, United States",0.01112,"",2021-09-07 16:10:18 UTC,2021-09-07 16:10:18 UTC,3594,Convelio202109071809220200
484,CVO-22851,truck,"New York, United States","Shaker Heights, United States",0.01112,"",2021-09-07 16:10:19 UTC,2021-09-07 16:10:19 UTC,558,Convelio202109071809220200
